company_name,price_date,price_type,price
DBS,2023-12-20,Actual,23.7
DBS,2023-12-21,Actual,23.48
DBS,2023-12-22,Actual,23.56
DBS,2023-12-26,Actual,24.95
DBS,2023-12-27,Actual,24.34
DBS,2023-12-28,Actual,25.2
DBS,2023-12-29,Actual,25.41
DBS,2024-01-02,Actual,25.09
DBS,2024-01-03,Actual,24.49
DBS,2024-01-04,Actual,24.37
DBS,2024-01-05,Actual,24.41
DBS,2024-01-08,Actual,24.9
DBS,2024-01-09,Actual,24.55
DBS,2024-01-10,Actual,24.16
DBS,2024-01-11,Actual,24.3
DBS,2024-01-12,Actual,24.09
DBS,2024-01-16,Actual,24.5
DBS,2024-01-17,Actual,23.8
DBS,2024-01-18,Actual,23.56
DBS,2024-01-19,Actual,24.28
DBS,2024-01-22,Actual,23.56
DBS,2024-01-23,Actual,24.09
DBS,2024-01-24,Actual,23.864
DBS,2024-01-25,Actual,24.2
DBS,2024-01-26,Actual,24.11
DBS,2024-01-29,Actual,23.85
DBS,2024-01-30,Actual,23.8
DBS,2024-01-31,Actual,23.77
DBS,2024-02-01,Actual,23.98
DBS,2024-02-02,Actual,23.92
DBS,2024-02-05,Actual,24.03
DBS,2024-02-06,Actual,23.28
DBS,2024-02-07,Actual,23.88
DBS,2024-02-08,Actual,24.01
DBS,2024-02-09,Actual,24.82
DBS,2024-02-12,Actual,24.48
DBS,2024-02-13,Actual,24.3
DBS,2024-02-14,Actual,23.6
DBS,2024-02-15,Actual,25.15
DBS,2024-02-16,Actual,25.59
DBS,2024-02-20,Actual,25.73
DBS,2024-02-21,Actual,25.0
DBS,2024-02-22,Actual,24.555
DBS,2024-02-23,Actual,24.777
DBS,2024-02-26,Actual,24.93
DBS,2024-02-27,Actual,25.22
DBS,2024-02-28,Actual,25.26
DBS,2024-02-29,Actual,24.48
DBS,2024-03-01,Actual,25.51
DBS,2024-03-04,Actual,25.59
DBS,2024-03-05,Actual,24.48
DBS,2024-03-06,Actual,25.62
DBS,2024-03-07,Actual,24.91
DBS,2024-03-08,Actual,25.05
DBS,2024-03-11,Actual,24.95
DBS,2024-03-12,Actual,24.6978
DBS,2024-03-13,Actual,25.27
DBS,2024-03-14,Actual,26.09
DBS,2024-03-15,Actual,27.09
DBS,2024-03-18,Actual,25.555
DBS,2024-03-19,Actual,26.34
DBS,2024-03-20,Actual,25.91
DBS,2024-03-21,Actual,26.09
DBS,2024-03-22,Actual,26.25
DBS,2024-03-25,Actual,26.7
DBS,2024-03-26,Actual,27.01
DBS,2024-03-27,Actual,27.02
DBS,2024-03-28,Actual,27.01
DBS,2024-04-01,Actual,27.01
DBS,2024-04-02,Actual,27.11
DBS,2024-04-03,Actual,26.29
DBS,2024-04-04,Actual,26.65
DBS,2024-04-05,Actual,26.0
DBS,2024-04-08,Actual,25.94
DBS,2024-04-09,Actual,26.15
DBS,2024-04-10,Actual,26.62
DBS,2024-04-11,Actual,26.298
DBS,2024-04-12,Actual,26.09
DBS,2024-04-15,Actual,25.98
DBS,2024-04-16,Actual,25.6
DBS,2024-04-17,Actual,26.13
DBS,2024-04-18,Actual,27.08
DBS,2024-04-19,Actual,27.05
DBS,2024-04-22,Actual,24.79
DBS,2024-04-23,Actual,25.25
DBS,2024-04-24,Actual,25.185
DBS,2024-04-25,Actual,25.53
DBS,2024-04-26,Actual,25.68
DBS,2024-04-29,Actual,25.48
DBS,2024-04-30,Actual,25.88
DBS,2024-05-01,Actual,25.84
DBS,2024-05-02,Actual,25.8
DBS,2024-05-03,Actual,26.7
DBS,2024-05-06,Actual,26.82
DBS,2024-05-07,Actual,26.23
DBS,2024-05-08,Actual,26.17
DBS,2024-05-09,Actual,26.4
DBS,2024-05-10,Actual,26.61
DBS,2024-05-13,Actual,25.57
DBS,2024-05-14,Actual,26.8
DBS,2024-05-15,Actual,26.37
DBS,2024-05-16,Actual,26.74
DBS,2024-05-17,Actual,26.57
DBS,2024-05-20,Actual,26.89
