Company Name,Price Date,Price Type,Price
ANZ,2020-08-18,Actual,13.08
ANZ,2020-08-19,Actual,13.08
ANZ,2020-08-20,Actual,13.08
ANZ,2020-08-21,Actual,13.08
ANZ,2020-08-24,Actual,13.08
ANZ,2020-08-25,Actual,13.08
ANZ,2020-08-26,Actual,13.08
ANZ,2020-08-27,Actual,13.08
ANZ,2020-08-28,Actual,13.08
ANZ,2020-08-31,Actual,13.08
ANZ,2020-09-01,Actual,12.68
ANZ,2020-09-02,Actual,12.68
ANZ,2020-09-03,Actual,12.68
ANZ,2020-09-04,Actual,12.68
ANZ,2020-09-08,Actual,12.68
ANZ,2020-09-09,Actual,12.86
ANZ,2020-09-10,Actual,12.5
ANZ,2020-09-11,Actual,12.5
ANZ,2020-09-14,Actual,12.5
ANZ,2020-09-15,Actual,12.5
ANZ,2020-09-16,Actual,12.5
ANZ,2020-09-17,Actual,12.52
ANZ,2020-09-18,Actual,12.52
ANZ,2020-09-21,Actual,12.52
ANZ,2020-09-22,Actual,12.52
ANZ,2020-09-23,Actual,12.52
ANZ,2020-09-24,Actual,12.52
ANZ,2020-09-25,Actual,12.35
ANZ,2020-09-28,Actual,12.35
ANZ,2020-09-29,Actual,12.28
ANZ,2020-09-30,Actual,12.28
ANZ,2020-10-01,Actual,12.28
ANZ,2020-10-02,Actual,12.28
ANZ,2020-10-05,Actual,12.28
ANZ,2020-10-06,Actual,12.825
ANZ,2020-10-07,Actual,12.825
ANZ,2020-10-08,Actual,12.825
ANZ,2020-10-09,Actual,12.825
ANZ,2020-10-12,Actual,13.61
ANZ,2020-10-13,Actual,13.61
ANZ,2020-10-14,Actual,13.61
ANZ,2020-10-15,Actual,13.61
ANZ,2020-10-16,Actual,13.61
ANZ,2020-10-19,Actual,13.61
ANZ,2020-10-20,Actual,13.61
ANZ,2020-10-21,Actual,13.67
ANZ,2020-10-22,Actual,13.67
ANZ,2020-10-23,Actual,13.67
ANZ,2020-10-26,Actual,13.67
ANZ,2020-10-27,Actual,13.67
ANZ,2020-10-28,Actual,13.67
ANZ,2020-10-29,Actual,13.67
ANZ,2020-10-30,Actual,13.67
ANZ,2020-11-02,Actual,13.67
ANZ,2020-11-03,Actual,13.67
ANZ,2020-11-04,Actual,13.67
ANZ,2020-11-05,Actual,13.67
ANZ,2020-11-06,Actual,13.67
ANZ,2020-11-09,Actual,14.03
ANZ,2020-11-10,Actual,14.03
ANZ,2020-11-11,Actual,14.03
ANZ,2020-11-12,Actual,14.03
ANZ,2020-11-13,Actual,14.03
ANZ,2020-11-16,Actual,14.03
ANZ,2020-11-17,Actual,14.03
ANZ,2020-11-18,Actual,14.03
ANZ,2020-11-19,Actual,14.03
ANZ,2020-11-20,Actual,14.03
ANZ,2020-11-23,Actual,14.03
ANZ,2020-11-24,Actual,14.03
ANZ,2020-11-25,Actual,17.395
ANZ,2020-11-27,Actual,17.395
ANZ,2020-11-30,Actual,17.12
ANZ,2020-12-01,Actual,17.12
ANZ,2020-12-02,Actual,17.12
ANZ,2020-12-03,Actual,17.12
ANZ,2020-12-04,Actual,17.375
ANZ,2020-12-07,Actual,17.36
ANZ,2020-12-08,Actual,17.36
ANZ,2020-12-09,Actual,17.36
ANZ,2020-12-10,Actual,17.36
ANZ,2020-12-11,Actual,16.6528
ANZ,2020-12-14,Actual,17.46
ANZ,2020-12-15,Actual,17.392
ANZ,2020-12-16,Actual,17.45
ANZ,2020-12-17,Actual,17.72
ANZ,2020-12-18,Actual,17.698
ANZ,2020-12-21,Actual,17.698
ANZ,2020-12-22,Actual,17.698
ANZ,2020-12-23,Actual,17.698
ANZ,2020-12-24,Actual,17.698
ANZ,2020-12-28,Actual,17.698
ANZ,2020-12-29,Actual,17.698
ANZ,2020-12-30,Actual,17.698
ANZ,2020-12-31,Actual,17.77
ANZ,2021-01-04,Actual,17.77
ANZ,2021-01-05,Actual,17.85
ANZ,2021-01-06,Actual,17.54
ANZ,2021-01-07,Actual,18.315
ANZ,2021-01-08,Actual,18.315
ANZ,2021-01-11,Actual,18.315
ANZ,2021-01-12,Actual,18.315
ANZ,2021-01-13,Actual,18.39
ANZ,2021-01-14,Actual,18.39
ANZ,2021-01-15,Actual,18.39
ANZ,2021-01-19,Actual,18.39
ANZ,2021-01-20,Actual,18.39
ANZ,2021-01-21,Actual,18.39
ANZ,2021-01-22,Actual,18.39
ANZ,2021-01-25,Actual,18.39
ANZ,2021-01-26,Actual,18.39
ANZ,2021-01-27,Actual,18.7
ANZ,2021-01-28,Actual,18.7
ANZ,2021-01-29,Actual,18.1
ANZ,2021-02-01,Actual,17.97
ANZ,2021-02-02,Actual,17.97
ANZ,2021-02-03,Actual,17.97
ANZ,2021-02-04,Actual,17.97
ANZ,2021-02-05,Actual,19.09
ANZ,2021-02-08,Actual,19.09
ANZ,2021-02-09,Actual,19.09
ANZ,2021-02-10,Actual,19.09
ANZ,2021-02-11,Actual,19.09
ANZ,2021-02-12,Actual,19.09
ANZ,2021-02-16,Actual,19.09
ANZ,2021-02-17,Actual,19.09
ANZ,2021-02-18,Actual,19.09
ANZ,2021-02-19,Actual,20.67
ANZ,2021-02-22,Actual,20.67
ANZ,2021-02-23,Actual,20.67
ANZ,2021-02-24,Actual,21.0
ANZ,2021-02-25,Actual,21.0
ANZ,2021-02-26,Actual,21.0
ANZ,2021-03-01,Actual,20.825
ANZ,2021-03-02,Actual,20.825
ANZ,2021-03-03,Actual,21.79
ANZ,2021-03-04,Actual,21.79
ANZ,2021-03-05,Actual,21.996
ANZ,2021-03-08,Actual,21.996
ANZ,2021-03-09,Actual,21.996
ANZ,2021-03-10,Actual,21.996
ANZ,2021-03-11,Actual,21.996
ANZ,2021-03-12,Actual,21.996
ANZ,2021-03-15,Actual,21.996
ANZ,2021-03-16,Actual,22.125
ANZ,2021-03-17,Actual,22.125
ANZ,2021-03-18,Actual,22.125
ANZ,2021-03-19,Actual,22.125
ANZ,2021-03-22,Actual,22.125
ANZ,2021-03-23,Actual,22.125
ANZ,2021-03-24,Actual,22.125
ANZ,2021-03-25,Actual,22.125
ANZ,2021-03-26,Actual,22.125
ANZ,2021-03-29,Actual,22.125
ANZ,2021-03-30,Actual,21.05
ANZ,2021-03-31,Actual,21.05
ANZ,2021-04-01,Actual,21.05
ANZ,2021-04-05,Actual,21.05
ANZ,2021-04-06,Actual,21.05
ANZ,2021-04-07,Actual,21.05
ANZ,2021-04-08,Actual,21.05
ANZ,2021-04-09,Actual,21.05
ANZ,2021-04-12,Actual,21.05
ANZ,2021-04-13,Actual,21.05
ANZ,2021-04-14,Actual,21.05
ANZ,2021-04-15,Actual,21.05
ANZ,2021-04-16,Actual,21.05
ANZ,2021-04-19,Actual,22.295
ANZ,2021-04-20,Actual,22.295
ANZ,2021-04-21,Actual,22.295
ANZ,2021-04-22,Actual,22.295
ANZ,2021-04-23,Actual,22.295
ANZ,2021-04-26,Actual,22.295
ANZ,2021-04-27,Actual,22.295
ANZ,2021-04-28,Actual,22.295
ANZ,2021-04-29,Actual,22.295
ANZ,2021-04-30,Actual,22.295
ANZ,2021-05-03,Actual,22.295
ANZ,2021-05-04,Actual,22.295
ANZ,2021-05-05,Actual,22.295
ANZ,2021-05-06,Actual,21.5
ANZ,2021-05-07,Actual,21.5
ANZ,2021-05-10,Actual,21.5
ANZ,2021-05-11,Actual,21.5
ANZ,2021-05-12,Actual,21.5
ANZ,2021-05-13,Actual,21.5
ANZ,2021-05-14,Actual,21.5
ANZ,2021-05-17,Actual,21.155
ANZ,2021-05-18,Actual,21.155
ANZ,2021-05-19,Actual,21.155
ANZ,2021-05-20,Actual,21.155
ANZ,2021-05-21,Actual,21.155
ANZ,2021-05-24,Actual,21.155
ANZ,2021-05-25,Actual,21.2
ANZ,2021-05-26,Actual,21.2
ANZ,2021-05-27,Actual,22.22
ANZ,2021-05-28,Actual,22.22
ANZ,2021-06-01,Actual,22.22
ANZ,2021-06-02,Actual,21.95
ANZ,2021-06-03,Actual,21.95
ANZ,2021-06-04,Actual,21.95
ANZ,2021-06-07,Actual,21.95
ANZ,2021-06-08,Actual,21.95
ANZ,2021-06-09,Actual,21.95
ANZ,2021-06-10,Actual,21.95
ANZ,2021-06-11,Actual,21.95
ANZ,2021-06-14,Actual,21.95
